filing,ticker,cluster
MSFT_10-K_0000950170-23-035122,MSFT,0
MSFT_10-K_0000950170-24-087843,MSFT,0
MSFT_10-K_0001564590-20-034944,MSFT,0
MSFT_10-K_0001564590-21-039151,MSFT,0
MSFT_10-K_0001564590-22-026876,MSFT,0
JPM_10-K_0000019617-20-000257,JPM,1
JPM_10-K_0000019617-21-000236,JPM,1
JPM_10-K_0000019617-22-000272,JPM,1
JPM_10-K_0000019617-23-000231,JPM,1
JPM_10-K_0000019617-24-000225,JPM,1
TSLA_10-K_0000950170-22-000796,TSLA,2
TSLA_10-K_0000950170-23-001409,TSLA,2
TSLA_10-K_0001564590-20-004475,TSLA,2
TSLA_10-K_0001564590-21-004599,TSLA,2
TSLA_10-K_0001628280-24-002390,TSLA,2
AAPL_10-K_0000320193-20-000096,AAPL,3
AAPL_10-K_0000320193-21-000105,AAPL,3
AAPL_10-K_0000320193-22-000108,AAPL,3
AAPL_10-K_0000320193-23-000106,AAPL,3
AAPL_10-K_0000320193-24-000123,AAPL,3
GOOGL_10-K_0001652044-20-000008,GOOGL,4
GOOGL_10-K_0001652044-21-000010,GOOGL,4
GOOGL_10-K_0001652044-22-000019,GOOGL,4
GOOGL_10-K_0001652044-23-000016,GOOGL,4
GOOGL_10-K_0001652044-24-000022,GOOGL,4
