key,ticker,filing_type,entity_text,entity_type,score
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPhone 12 Pro Max,MISC,0.9940000176429749
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPhone 12,MISC,0.996999979019165
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Mac Mac ®,MISC,0.99099999666214
AAPL_10-K_0000320193-20-000096,AAPL,10-K,macOS ®,MISC,0.8379999995231628
AAPL_10-K_0000320193-20-000096,AAPL,10-K,MacBook Pro,MISC,0.996999979019165
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Mac Pro ®,MISC,0.9160000085830688
AAPL_10-K_0000320193-20-000096,AAPL,10-K,MacBook Air,MISC,0.9919999837875366
AAPL_10-K_0000320193-20-000096,AAPL,10-K,MacBook Pro,MISC,0.9959999918937684
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPad iPad,MISC,0.9380000233650208
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPadOS,MISC,0.972000002861023
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPad Pro ®,MISC,0.9409999847412108
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPad,MISC,0.9670000076293944
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPad Air ®,MISC,0.9760000109672546
AAPL_10-K_0000320193-20-000096,AAPL,10-K,AirPods,MISC,0.8339999914169312
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,ORG,0.7049999833106995
AAPL_10-K_0000320193-20-000096,AAPL,10-K,TV,MISC,0.8460000157356262
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,ORG,0.8539999723434448
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Watch ®,MISC,0.5720000267028809
AAPL_10-K_0000320193-20-000096,AAPL,10-K,HomePod ®,MISC,0.6600000262260437
AAPL_10-K_0000320193-20-000096,AAPL,10-K,iPod,MISC,0.8130000233650208
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,MISC,0.9980000257492064
AAPL_10-K_0000320193-20-000096,AAPL,10-K,AirP,MISC,0.6990000009536743
AAPL_10-K_0000320193-20-000096,AAPL,10-K,AirPods Pro,MISC,0.968999981880188
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple Watch,ORG,0.9660000205039978
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple Watch Series 6,MISC,0.9670000076293944
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple Watch,ORG,0.7919999957084656
AAPL_10-K_0000320193-20-000096,AAPL,10-K,SE,MISC,0.7940000295639038
AAPL_10-K_0000320193-20-000096,AAPL,10-K,HomePod mini™,MISC,0.9819999933242798
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Company,ORG,0.8029999732971191
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple Inc,ORG,0.9980000257492064
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,MISC,0.4709999859333038
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Company,ORG,0.8180000185966492
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,MISC,0.7139999866485596
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,ORG,0.9919999837875366
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,ORG,0.9869999885559082
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Services,ORG,0.7760000228881836
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Apple,ORG,0.9789999723434448
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Windows,MISC,0.6079999804496765
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$225 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$168.6 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$56.4 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$6.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$94.14,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$100,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$100,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$14.3 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$175 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$225 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$0.1925,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$0.205,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$72.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$14.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$11.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$2.8 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$18.6 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$18.9 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$80.7 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$57.4 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$17.6 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$5.7 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$4.3 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$7.3 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$1.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$5.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$86.8 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$72.4 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$14.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$12.6 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$1.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$16.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$69.4 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$55.3 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$17.6 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$3.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$45.9 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$57.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$10.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$91.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$66.9 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$14.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$8.8 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$6.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$7.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$5.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$106.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$16.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$12.6 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$225 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$168.6 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$72.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$10.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$6.0 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$0.205,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$3.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$2.8 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$107.4 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$102.1 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$218 million,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$325 million,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$551 million,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$452 million,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$16.5 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,$8.8 billion,MONEY,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,AAPL,TICKER,1.0
AAPL_10-K_0000320193-20-000096,AAPL,10-K,Fiscal 2020,FISCAL_PERIOD,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iPhone 13 Pro Max,MISC,0.8579999804496765
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Mac Mac ®,MISC,0.9559999704360962
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Company,ORG,0.531000018119812
AAPL_10-K_0000320193-21-000105,AAPL,10-K,macOS,MISC,0.9520000219345092
AAPL_10-K_0000320193-21-000105,AAPL,10-K,MacBook Air ®,MISC,0.9589999914169312
AAPL_10-K_0000320193-21-000105,AAPL,10-K,MacBook Pro,MISC,0.9959999918937684
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Mac,MISC,0.9589999914169312
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iMac ®,MISC,0.7179999947547913
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple M1,MISC,0.996999979019165
AAPL_10-K_0000320193-21-000105,AAPL,10-K,MacBook Pro,MISC,0.996999979019165
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple M1 Pro,MISC,0.9890000224113464
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Max,MISC,0.9480000138282776
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iPad iPad,MISC,0.8840000033378601
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iPadOS,MISC,0.977999985218048
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iPad Air ®,MISC,0.9430000185966492
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iPad Pro,MISC,0.9929999709129332
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple M1,MISC,0.9919999837875366
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iPad,MISC,0.7020000219345093
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iPad,MISC,0.8949999809265137
AAPL_10-K_0000320193-21-000105,AAPL,10-K,AirPods,MISC,0.6539999842643738
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple,ORG,0.8769999742507935
AAPL_10-K_0000320193-21-000105,AAPL,10-K,TV,MISC,0.7260000109672546
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple,ORG,0.9459999799728394
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Watch,MISC,0.5590000152587891
AAPL_10-K_0000320193-21-000105,AAPL,10-K,HomePod,MISC,0.5979999899864197
AAPL_10-K_0000320193-21-000105,AAPL,10-K,iP,MISC,0.6340000033378601
AAPL_10-K_0000320193-21-000105,AAPL,10-K,AirP,MISC,0.5849999785423279
AAPL_10-K_0000320193-21-000105,AAPL,10-K,AirPods,MISC,0.7850000262260437
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple Watch,ORG,0.9810000061988832
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Company,ORG,0.6039999723434448
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple Watch Series 7,MISC,0.9829999804496764
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple Inc,ORG,0.9990000128746032
AAPL_10-K_0000320193-21-000105,AAPL,10-K,AppleC,ORG,0.7239999771118164
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Company,ORG,0.5600000023841858
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple,ORG,0.9869999885559082
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple,ORG,0.9860000014305116
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Apple,ORG,0.9819999933242798
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$315 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$254.1 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$60.9 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$5.0 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$137.20,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$100,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$100,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$91.3 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$225 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$315 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$0.205,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$0.22,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$85.5 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$14.5 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$3.5 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$172.6 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$118.1 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$9.6 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$39.5 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$2.9 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$6.0 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$14.6 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$1.8 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$54.8 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$54.7 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$8.3 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$4.8 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$24.6 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$0.22,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$4.1 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$3.1 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$118.7 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$107.4 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$186 million,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$218 million,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$550 million,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$551 million,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$15.5 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,$6.6 billion,MONEY,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,AAPL,TICKER,1.0
AAPL_10-K_0000320193-21-000105,AAPL,10-K,Fiscal 2021,FISCAL_PERIOD,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,MacBook Air ®,MISC,0.9190000295639038
AAPL_10-K_0000320193-22-000108,AAPL,10-K,MacBook Pro,MISC,0.9940000176429749
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iMac ®,MISC,0.7429999709129333
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Mac,MISC,0.9950000047683716
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Mac,MISC,0.9950000047683716
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Mac Pro,MISC,0.9929999709129332
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iPad iPad,MISC,0.9639999866485596
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iPadOS ®,MISC,0.8650000095367432
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iPad,MISC,0.953000009059906
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iPad Pro,MISC,0.9929999709129332
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iPad Air,MISC,0.9810000061988832
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iPad,MISC,0.8659999966621399
AAPL_10-K_0000320193-22-000108,AAPL,10-K,iPad,MISC,0.8109999895095825
AAPL_10-K_0000320193-22-000108,AAPL,10-K,AirPods,MISC,0.8889999985694885
AAPL_10-K_0000320193-22-000108,AAPL,10-K,AirPods Pro,MISC,0.9580000042915344
AAPL_10-K_0000320193-22-000108,AAPL,10-K,AirPods,MISC,0.8519999980926514
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.7929999828338623
AAPL_10-K_0000320193-22-000108,AAPL,10-K,TV,MISC,0.8980000019073486
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple TV,MISC,0.8659999966621399
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple TV HD,MISC,0.8550000190734863
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple Watch ®,MISC,0.5950000286102295
AAPL_10-K_0000320193-22-000108,AAPL,10-K,watch,MISC,0.5080000162124634
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple Watch Ultra™,MISC,0.8529999852180481
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple Watch Series 8,MISC,0.9649999737739564
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple Watch SE,MISC,0.8730000257492065
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple Inc,ORG,0.996999979019165
AAPL_10-K_0000320193-22-000108,AAPL,10-K,AppleCare,ORG,0.824999988079071
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Company,ORG,0.8690000176429749
AAPL_10-K_0000320193-22-000108,AAPL,10-K,AppleC,ORG,0.9459999799728394
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.9890000224113464
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.9279999732971193
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Cloud Services The Company,ORG,0.9340000152587892
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.9890000224113464
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Windows,MISC,0.9100000262260436
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Company,ORG,0.9490000009536744
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Company,ORG,0.8640000224113464
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.984000027179718
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.9869999885559082
AAPL_10-K_0000320193-22-000108,AAPL,10-K,SM,ORG,0.4909999966621399
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.984000027179718
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Apple,ORG,0.984000027179718
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$405 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$344.3 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$100,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$100,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$28.5 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$315 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$405 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$0.22,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$0.23,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$90.2 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$14.8 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$156.4 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$111.8 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$11.1 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$41.3 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$2.9 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$10.0 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$15.3 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$2.0 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$71.1 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$68.4 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$17.8 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$6.8 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$22.0 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$5.3 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$0.23,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$4.0 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$4.1 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$110.1 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$118.7 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$201 million,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$186 million,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$1.0 billion,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,$550 million,MONEY,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,AAPL,TICKER,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,Fiscal 2022,FISCAL_PERIOD,1.0
AAPL_10-K_0000320193-22-000108,AAPL,10-K,fiscal 2022,FISCAL_PERIOD,1.0
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Mac,MISC,0.574999988079071
AAPL_10-K_0000320193-23-000106,AAPL,10-K,MacBook Pro,MISC,0.9890000224113464
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iMac ®,MISC,0.7649999856948853
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Mac mini,MISC,0.7590000033378601
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Mac Studio ®,MISC,0.8569999933242798
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Mac Pro ®,MISC,0.828000009059906
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iPad iPad,MISC,0.9639999866485596
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iPadOS,MISC,0.9679999947547911
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iPad,MISC,0.925000011920929
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iPad Pro,MISC,0.9929999709129332
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iPad Air,MISC,0.9819999933242798
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iPad,MISC,0.925000011920929
AAPL_10-K_0000320193-23-000106,AAPL,10-K,iPad,MISC,0.9139999747276306
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Apple Watch Ultra™ 2,MISC,0.8989999890327454
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Apple Watch ®,MISC,0.7760000228881836
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Apple,ORG,0.6169999837875366
AAPL_10-K_0000320193-23-000106,AAPL,10-K,Watch SE,MISC,0.9549999833106996
AAPL_10-K_0000320193-23-000106,AAPL,10-K,AirPods ®,MISC,0.9089999794960022
AAPL_10-K_0000320193-23-000106,AAPL,10-K,AirPods Pro,MISC,0.9020000100135804
AAPL_10-K_0000320193-23-000106,AAPL,10-K,AirPods Max™,MISC,0.8109999895095825
